pat_no,pat_clm_ct,pat_wrd_ct,pat_wrd_min,pat_dep_clm_ct,pat_dep_wrd_ct,pat_dep_wrd_min,pat_wrd_avg,pat_dep_wrd_avg,appl_id
3931484,1,331,331.0,8,510,24.0,331.0,63.75,
3931485,2,472,196.0,2,54,27.0,236.0,27.0,
3931489,1,304,304.0,2,50,16.0,304.0,25.0,
3931490,1,186,186.0,12,408,15.0,186.0,34.0,
3931492,7,922,63.0,9,339,20.0,131.7143,37.66667,
3931494,1,180,180.0,1,68,68.0,180.0,68.0,
3931504,4,565,118.0,16,848,20.0,141.25,53.0,5424014.0
3931509,1,91,91.0,6,146,20.0,91.0,24.33333,
3931513,3,502,125.0,12,595,21.0,167.3333,49.58333,
3931517,1,139,139.0,6,119,12.0,139.0,19.83333,5537880.0
3931519,1,187,187.0,2,46,20.0,187.0,23.0,
3931520,1,166,166.0,7,365,21.0,166.0,52.14286,
3931521,4,463,89.0,15,876,23.0,115.75,58.4,5375265.0
3931525,1,166,166.0,9,325,22.0,166.0,36.11111,5394980.0
3931527,1,114,114.0,9,276,15.0,114.0,30.66667,
3931532,1,265,265.0,6,351,20.0,265.0,58.5,
3931533,2,420,177.0,4,194,26.0,210.0,48.5,5474359.0
3931534,2,301,146.0,18,1112,30.0,150.5,61.77778,
3931535,3,850,268.0,26,878,17.0,283.3333,33.76923,5400032.0
3931543,3,460,123.0,16,471,17.0,153.3333,29.4375,
3931544,2,234,100.0,13,637,22.0,117.0,49.0,
3931549,2,275,136.0,5,151,18.0,137.5,30.2,
3931553,1,212,212.0,4,191,30.0,212.0,47.75,
3931554,2,279,122.0,16,788,22.0,139.5,49.25,
3931561,1,381,381.0,5,209,19.0,381.0,41.8,
3931566,1,155,155.0,0,0,,155.0,,
3931569,4,825,78.0,15,508,13.0,206.25,33.86666,
3931570,3,499,103.0,13,415,15.0,166.3333,31.92308,
3931571,1,229,229.0,10,315,20.0,229.0,31.5,
3931572,6,925,127.0,18,693,14.0,154.1667,38.5,
3931573,6,601,71.0,27,915,17.0,100.1667,33.88889,5250582.0
3931587,2,299,117.0,13,645,18.0,149.5,49.61538,
3931589,6,1000,117.0,18,516,14.0,166.6667,28.66667,
3931598,1,155,155.0,4,164,20.0,155.0,41.0,
3931601,3,1268,271.0,10,411,29.0,422.6667,41.1,
3931602,1,164,164.0,1,34,34.0,164.0,34.0,
3931605,1,114,114.0,1,49,49.0,114.0,49.0,
3931618,1,159,159.0,0,0,,159.0,,5415700.0
3931622,2,411,204.0,5,187,22.0,205.5,37.4,
3931633,2,548,273.0,9,347,16.0,274.0,38.55556,
3931636,4,461,94.0,4,294,15.0,115.25,73.5,
3931638,2,456,222.0,1,23,23.0,228.0,23.0,
3931641,3,407,98.0,12,382,17.0,135.6667,31.83333,5499738.0
3931642,5,476,33.0,16,539,17.0,95.2,33.6875,
3931643,1,173,173.0,6,181,22.0,173.0,30.16667,
3931644,2,288,136.0,8,343,26.0,144.0,42.875,
3931647,1,57,57.0,2,42,15.0,57.0,21.0,
3931648,3,1006,252.0,6,329,17.0,335.3333,54.83333,
3931649,2,527,239.0,2,62,28.0,263.5,31.0,
3931650,2,220,104.0,4,158,28.0,110.0,39.5,
3931651,2,200,98.0,0,0,,100.0,,
3931652,1,217,217.0,1,22,22.0,217.0,22.0,5560167.0
3931657,1,247,247.0,4,154,18.0,247.0,38.5,
3931658,4,528,69.0,21,811,22.0,132.0,38.61905,
3931668,2,344,152.0,9,413,18.0,172.0,45.88889,
3931671,1,84,84.0,5,249,38.0,84.0,49.8,5510338.0
3931673,1,91,91.0,0,0,,91.0,,
3931674,1,168,168.0,8,366,26.0,168.0,45.75,5440930.0
3931677,5,614,75.0,3,138,32.0,122.8,46.0,
3931679,1,147,147.0,4,388,65.0,147.0,97.0,
3931682,2,142,67.0,18,659,24.0,71.0,36.61111,5469820.0
3931683,2,475,233.0,11,438,25.0,237.5,39.81818,
3931685,1,81,81.0,3,100,26.0,81.0,33.33333,
3931688,1,239,239.0,3,161,53.0,239.0,53.66667,
3931689,4,868,147.0,19,1099,19.0,217.0,57.84211,
3931691,2,240,114.0,1,19,19.0,120.0,19.0,
3931692,1,88,88.0,10,377,28.0,88.0,37.7,
3931693,1,146,146.0,9,374,29.0,146.0,41.55556,
3931695,4,414,75.0,10,428,21.0,103.5,42.8,5539866.0
3931699,1,242,242.0,13,275,15.0,242.0,21.15385,
3931701,1,204,204.0,5,146,19.0,204.0,29.2,
3931702,2,701,342.0,9,516,42.0,350.5,57.33333,
3931703,1,216,216.0,3,174,44.0,216.0,58.0,
3931704,1,138,138.0,9,297,19.0,138.0,33.0,
3931707,2,375,110.0,9,413,21.0,187.5,45.88889,
3931709,1,182,182.0,2,51,21.0,182.0,25.5,
3931712,3,756,187.0,12,541,13.0,252.0,45.08333,
3931714,2,1096,438.0,10,1257,77.0,548.0,125.7,
3931719,1,264,264.0,0,0,,264.0,,
3931724,1,319,319.0,0,0,,319.0,,
3931729,3,308,91.0,3,133,41.0,102.6667,44.33333,
3931731,1,216,216.0,0,0,,216.0,,
3931732,2,272,122.0,10,313,15.0,136.0,31.3,
3931736,1,189,189.0,6,313,19.0,189.0,52.16667,
3931737,2,932,216.0,9,871,57.0,466.0,96.77778,
3931741,1,280,280.0,0,0,,280.0,,5412201.0
3931751,1,143,143.0,5,372,46.0,143.0,74.4,
3931752,1,180,180.0,15,924,28.0,180.0,61.6,
3931753,2,410,200.0,25,1119,22.0,205.0,44.76,
3931755,1,301,301.0,4,386,49.0,301.0,96.5,
