intl_class_cd,class_id,serial_no
017,87906,72045138
001,87907,72045139
009,87907,72045139
010,87907,72045139
006,87908,72045140
020,87908,72045140
001,87909,72045141
002,87909,72045141
003,87909,72045141
004,87909,72045141
005,87909,72045141
007,87910,72045142
009,87910,72045142
011,87910,72045142
012,87910,72045142
015,87910,72045142
014,88326,72046846
034,89277,72050958
014,89416,72051645
001,89917,72053756
001,89918,72053757
028,90207,72055200
014,90286,72055493
033,92146,72063759
001,92335,72064617
014,93383,72069269
009,93815,72071236
009,93908,72071630
006,94039,72072157
007,94039,72072157
011,94039,72072157
017,94039,72072157
020,94039,72072157
021,94039,72072157
006,94437,72073995
009,94508,72074296
007,94763,72075368
008,94763,72075368
007,95368,72077819
003,96935,72084287
005,96935,72084287
014,99736,72095295
025,101090,72100200
029,102739,72105427
006,102898,72105933
028,103158,72106619
028,103159,72106620
014,103422,72107359
025,104689,72111085
002,104762,72111297
031,105190,72112437
024,105772,72113902
014,105996,72114448
034,105996,72114448
031,106040,72114531
020,107303,72117311
002,108681,72120058
003,111000,72124619
003,111493,72125552
014,111916,72126366
009,112413,72127352
014,112815,72128184
021,114464,72131293
025,115118,72132519
007,115465,72133207
016,116418,72135028
006,117887,72137770
035,118322,72138586
010,118920,72139756
025,118920,72139756
026,118920,72139756
009,119623,72141088
029,121166,72144051
028,121459,72144586
025,121589,72144823
012,122512,72146591
020,122654,72146834
016,122842,72147180
031,123072,72147616
028,123267,72147988
009,124999,72151189
030,125019,72151232
029,125418,72152036
030,127425,72155870
029,129890,72160545
029,131055,72162630
005,131836,72164154
025,134381,72168895
003,134737,72169558
009,135435,72170878
029,135446,72170892
003,136182,72172226
032,137886,72175429
033,139838,72179071
007,140990,72181165
011,140990,72181165
012,140990,72181165
010,142000,72183042
011,143364,72185495
005,143833,72186371
012,144561,72187769
011,149118,72196174
014,149523,72196878
030,151429,72200534
025,151524,72200680
024,151525,72200681
030,152144,72201709
025,152209,72201806
016,156252,72209525
026,156252,72209525
027,156252,72209525
009,156253,72209525
016,156253,72209525
028,156253,72209525
031,156583,72210124
028,156837,72210579
020,157017,72210889
006,157267,72211370
013,157267,72211370
014,157267,72211370
015,157267,72211370
016,157267,72211370
018,157267,72211370
020,157267,72211370
021,157267,72211370
022,157267,72211370
034,157267,72211370
020,157268,72211371
021,157269,72211372
028,157609,72212029
003,157921,72212645
033,159342,72215240
032,159343,72215241
032,159344,72215242
032,159405,72215346
009,160186,72216819
015,160187,72216820
007,160249,72216931
025,160360,72217125
003,163038,72222117
042,163476,72222903
028,163518,72223000
011,165378,72226453
011,165379,72226454
011,165380,72226455
011,165381,72226456
009,166471,72228603
011,168489,72232328
011,168490,72232329
003,169155,72233456
030,169223,72233602
033,169398,72233949
016,171373,72237523
003,171380,72237533
011,171993,72238649
016,172422,72239478
005,173593,72241657
021,173727,72241890
029,174448,72243258
030,174448,72243258
032,174448,72243258
033,174448,72243258
003,175401,72244970
011,176831,72247782
032,179666,72253246
021,180730,72255272
005,180930,72255662
023,182110,72257891
011,182370,72258392
011,182630,72258825
029,183529,72260526
007,183578,72260636
009,183578,72260636
011,183578,72260636
012,183578,72260636
015,183578,72260636
020,184686,72262634
031,185117,72263406
031,187331,72267310
003,187948,72268456
001,188967,72270462
003,189805,72272184
032,190078,72272680
003,190255,72273034
009,192995,72277923
016,192995,72277923
028,192995,72277923
003,193067,72278033
014,194409,72280615
041,194463,72280735
029,194534,72280852
030,194534,72280852
031,194534,72280852
001,195130,72281937
001,195782,72283242
002,195782,72283242
003,195782,72283242
004,195782,72283242
005,195782,72283242
016,195848,72283349
200,196754,72285041
016,197291,72286019
025,197749,72286878
016,197942,72287235
018,197951,72287248
034,197952,72287248
008,197953,72287248
014,197953,72287248
010,197954,72287248
025,197954,72287248
026,197954,72287248
021,197955,72287248
026,197955,72287248
003,197956,72287248
005,197956,72287248
003,197957,72287248
025,197980,72287293
029,199466,72290187
017,200792,72292700
003,201297,72293734
016,202036,72295116
016,202037,72295116
023,202501,72295957
012,202503,72295960
018,202879,72296607
011,204718,72300075
006,204787,72300192
013,204787,72300192
014,204787,72300192
015,204787,72300192
016,204787,72300192
018,204787,72300192
020,204787,72300192
021,204787,72300192
022,204787,72300192
034,204787,72300192
018,204788,72300192
016,204789,72300192
026,204789,72300192
027,204789,72300192
025,204790,72300192
018,204791,72300192
022,204791,72300192
025,206088,72302683
034,206477,72303482
008,206665,72303809
003,208879,72307920
012,208940,72308052
032,209045,72308212
033,209045,72308212
020,209705,72309477
034,210216,72310416
032,210503,72311020
032,210556,72311120
007,211871,72313800
021,213633,72317157
018,214199,72318279
025,214200,72318280
041,218231,72326176
028,218780,72327337
030,221174,72332148
032,222932,72335854
016,224034,72338184
032,224126,72338406
032,224127,72338406
022,224195,72338567
024,224195,72338567
026,224195,72338567
027,224195,72338567
035,224618,72339435
014,224632,72339492
025,224633,72339493
030,227209,72344956
029,227937,72346515
032,228504,72347686
002,231244,72353130
034,232884,72356582
033,233336,72357515
009,233862,72358665
016,234535,72360103
041,236314,72364052
028,236689,72364842
041,236690,72364842
035,237696,72367139
009,238192,72368173
028,238271,72368372
009,238604,72369027
011,238604,72369027
007,238605,72369027
011,238605,72369027
009,238606,72369027
025,240201,72372415
033,240584,72373274
025,240673,72373473
025,241227,72374594
033,241528,72375287
007,241626,72375520
007,241627,72375521
029,242056,72376392
031,242056,72376392
033,242056,72376392
025,242692,72377694
025,244646,72381822
025,244838,72382296
009,244998,72382710
007,245910,72384625
016,245911,72384625
020,245912,72384625
020,246406,72385658
025,248052,72389205
029,248344,72389884
030,248344,72389884
001,250381,72394323
003,251812,72397287
033,253765,72401449
005,255595,72405455
041,256154,72406645
034,257373,72409546
016,258357,72411791
021,258478,72412094
032,259000,72413243
014,259584,72414550
033,260528,72416556
030,260613,72416755
015,260909,72417439
014,262256,72420356
042,262732,72421386
012,264794,72425777
003,265459,72427304
003,265460,72427305
007,265641,72427657
003,267122,72430791
025,268379,72433537
016,268971,72434765
035,269021,72434857
029,269212,72435218
030,269212,72435218
032,269212,72435218
033,269212,72435218
032,269464,72435818
039,270390,72437874
003,271063,72439442
002,271064,72439444
042,272487,72442472
016,272783,72443070
025,273096,72443717
007,273855,72445229
029,275290,72448202
032,275290,72448202
009,275859,72449393
004,278407,72454800
042,279144,72456403
042,279191,72456526
037,279192,72456526
041,279349,72456901
042,279350,72456901
041,279351,72456903
042,279352,72456903
034,279507,72457229
006,279621,72457457
042,280608,72459503
042,281625,72461681
003,281922,72462312
025,282261,72463014
007,282457,72463493
042,283945,72466630
037,283946,72466630
007,283947,72466631
003,284520,73000228
003,285139,73001472
014,285691,73002627
018,285692,73002627
025,285693,73002627
014,285694,73002628
018,285695,73002628
025,285696,73002628
007,285888,73003043
029,286304,73003860
009,287490,73006231
029,289274,73009824
030,289275,73009824
031,289276,73009824
009,289493,73010176
042,290293,73011549
032,291620,73014208
035,292162,73015339
032,293628,73018307
025,294186,73019358
028,295425,73021772
042,295940,73022838
029,299704,73030215
030,299705,73030215
032,299706,73030215
003,300024,73030806
028,300782,73032294
028,300783,73032295
017,302633,73035609
019,302634,73035609
027,302635,73035609
036,303892,73037922
016,303934,73038002
009,304113,73038347
028,306293,73042102
030,306358,73042221
031,307786,73044627
029,308388,73045727
005,309364,73047379
041,309827,73048100
025,310485,73049126
009,310904,73049786
016,311441,73050691
028,311691,73051052
031,311835,73051298
032,311836,73051298
033,311837,73051298
003,312401,73052196
028,312683,73052586
029,314352,73055249
030,314383,73055299
006,314667,73055770
014,314668,73055770
016,314669,73055770
018,314670,73055770
021,314671,73055770
024,314672,73055770
025,314673,73055770
026,314674,73055770
028,314675,73055770
034,314676,73055770
039,314677,73055770
041,314678,73055770
042,314679,73055770
024,315599,73057157
006,317516,73059907
030,317537,73059934
003,317837,73060367
018,317888,73060441
031,317926,73060492
035,318154,73060825
008,318924,73061909
016,320082,73063556
030,321589,73065676
042,321590,73065677
031,325961,73071414
041,327500,73073421
042,327721,73073700
009,331420,73078079
005,331978,73078716
029,332955,73079851
016,335226,73082610
025,335398,73082822
030,335771,73083225
031,335772,73083225
032,335773,73083225
042,335774,73083225
033,336229,73083781
042,339597,73087769
009,340281,73088583
015,340748,73089152
037,341383,73089866
015,344396,73093567
003,344404,73093576
030,344567,73093774
032,345511,73094914
031,346448,73096016
030,346683,73096317
025,347861,73097734
021,351598,73102541
028,353109,73104327
033,354422,73105969
003,355300,73107028
003,356451,73108432
002,356704,73108749
025,356750,73108797
003,356927,73109031
028,357483,73109681
033,357919,73110224
033,358063,73110406
041,358443,73110836
025,358548,73110963
003,360411,73113189
009,361919,73115083
007,362092,73115293
012,362093,73115293
027,363194,73116598
025,363873,73117421
041,364159,73117783
033,364432,73118130
025,365249,73119116
009,366336,73120444
005,366341,73120451
006,366342,73120451
007,366343,73120451
008,366344,73120451
009,366345,73120451
011,366346,73120451
012,366347,73120451
014,366348,73120451
017,366349,73120451
018,366350,73120451
021,366351,73120451
022,366352,73120451
027,366353,73120451
025,368034,73122456
009,368056,73122487
009,369156,73123836
041,369648,73124427
041,369649,73124428
032,370220,73125120
016,370394,73125326
025,370938,73126009
032,372270,73127580
035,372415,73127763
042,373004,73128464
016,373482,73129001
030,373906,73129545
042,373907,73129545
025,374146,73129826
015,374287,73129979
041,374408,73130118
016,374596,73130369
029,375480,73131458
029,375499,73131488
029,375500,73131489
029,375501,73131490
021,376595,73132852
030,376990,73133332
021,377316,73133733
014,377393,73133831
006,377394,73133832
016,377395,73133833
018,377396,73133834
020,377397,73133835
021,377398,73133836
024,377399,73133837
025,377400,73133838
028,377401,73133839
034,377402,73133840
003,377403,73133841
007,378006,73134603
008,378007,73134603
041,379752,73136686
041,379753,73136687
029,379963,73136958
021,381591,73138959
005,381672,73139066
009,381677,73139075
025,381862,73139291
003,382257,73139750
025,385252,73143444
016,385857,73144185
003,387910,73146632
007,389048,73147965
016,389049,73147965
021,390240,73149460
036,391454,73150965
028,391639,73151236
030,392379,73152117
042,392399,73152137
042,392400,73152138
003,394084,73154176
016,394866,73155097
042,395806,73156239
033,396769,73157452
036,399034,73160290
001,399893,73161370
038,400088,73161603
009,401357,73163176
041,401358,73163176
031,403097,73165280
034,404479,73166987
042,405376,73168133
025,405592,73168424
025,409273,73172927
025,409568,73173290
021,410282,73174065
031,410283,73174065
029,410765,73174664
042,411134,73175136
012,412339,73176639
042,413211,73177769
029,413221,73177783
032,413222,73177783
034,413828,73178512
042,413829,73178512
031,413868,73178571
028,414501,73179308
003,414585,73179424
025,415832,73180894
012,416042,73181148
032,420011,73186111
042,420176,73186322
042,420177,73186323
042,420477,73186708
028,420525,73186768
003,420595,73186837
030,421805,73188424
028,423203,73190159
009,426049,73193801
003,427058,73195000
005,427192,73195174
005,427193,73195175
034,428848,73197230
034,429407,73197958
014,429432,73197992
018,431099,73200253
016,432211,73201697
003,432397,73201929
032,432519,73202097
032,433018,73202676
037,435138,73205383
042,435139,73205383
037,435149,73205394
042,435150,73205394
032,436441,73206980
041,436699,73207312
007,436993,73207678
009,436994,73207678
011,436995,73207678
014,436996,73207678
029,437488,73208336
030,437489,73208336
027,437591,73208474
030,439558,73210987
028,440398,73212026
042,442010,73214023
009,442212,73214277
032,442268,73214354
009,442852,73215055
041,442853,73215055
028,444177,73216779
041,444334,73216977
012,445006,73217800
032,445717,73218664
016,445901,73218893
032,445929,73218933
034,446228,73219326
009,446244,73219347
025,446245,73219348
024,446246,73219349
006,446247,73219350
021,446248,73219351
033,447265,73220685
032,449114,73223076
018,449644,73223768
032,450182,73224556
011,452352,73227316
009,452446,73227459
028,452599,73227648
032,453511,73228916
032,454075,73229770
003,454711,73230571
030,458565,73235715
031,460415,73238107
030,461240,73239144
016,461290,73239204
025,461606,73239651
042,461913,73240057
031,461915,73240059
042,462431,73240711
030,463043,73241466
006,463265,73241743
009,463266,73241743
011,463267,73241743
016,463268,73241743
018,463269,73241743
020,463270,73241743
021,463271,73241743
041,463272,73241743
042,463273,73241743
016,465536,73244575
041,467694,73247543
016,468711,73248925
042,471191,73252133
003,471485,73252496
008,471486,73252496
014,471487,73252496
016,471488,73252496
018,471489,73252496
021,471490,73252496
024,471491,73252496
025,471492,73252496
014,471709,73252765
005,475104,73257220
042,475434,73257658
016,476290,73258747
032,477817,73260766
030,477865,73260837
007,477934,73260942
009,479249,73262596
025,481137,73265029
029,481819,73265897
030,481820,73265897
032,481821,73265897
042,481822,73265897
029,481828,73265901
030,481829,73265901
032,481830,73265901
042,481831,73265901
008,482312,73266525
009,482313,73266525
016,482314,73266525
042,482315,73266525
028,482451,73266714
032,483379,73267915
042,483418,73267965
009,483544,73268135
036,483547,73268138
003,483784,73268459
032,484088,73268824
016,485251,73270280
014,485266,73270300
026,485947,73271158
009,486176,73271433
016,486177,73271433
028,486178,73271433
034,487405,73272825
042,488098,73273654
029,489616,73275535
041,490344,73276400
016,492936,73279607
030,493912,73280625
041,494215,73280891
042,494540,73281190
017,495023,73281654
020,495024,73281654
017,495025,73281655
020,495026,73281655
017,495027,73281656
020,495028,73281656
039,496719,73283235
003,497238,73283714
005,499945,73286232
041,501489,73287660
028,502718,73288768
003,504276,73290199
017,505084,73290893
030,505296,73291085
042,506733,73292397
029,506805,73292462
032,506806,73292462
024,507307,73292909
037,507750,73293311
005,507805,73293363
026,508186,73293712
032,508505,73293986
003,509869,73295240
035,510303,73295616
001,510721,73295999
007,510722,73295999
008,510723,73295999
009,510724,73295999
010,510725,73295999
011,510726,73295999
014,510727,73295999
016,510728,73295999
017,510729,73295999
020,510730,73295999
021,510731,73295999
028,510732,73295999
042,511780,73296952
033,512077,73297230
009,512169,73297323
009,512462,73297588
013,512828,73297944
035,513628,73298647
009,515144,73300046
039,515598,73300478
004,515661,73300529
030,516006,73300837
033,516007,73300837
042,516008,73300837
005,516473,73301274
041,516533,73301329
009,517122,73301885
016,517214,73301976
025,517789,73302503
025,517790,73302504
042,517791,73302505
042,517792,73302506
009,518562,73303403
009,518566,73303406
006,519999,73304926
014,520000,73304926
026,520001,73304926
031,520086,73305010
033,521063,73305894
030,521657,73306433
030,523123,73307803
042,523138,73307818
030,523696,73308332
031,523797,73308419
025,523804,73308426
042,524059,73308668
009,524415,73309003
009,524416,73309004
009,524417,73309005
042,524437,73309025
032,524853,73309384
009,525003,73309514
020,525465,73309954
030,525612,73310096
024,527658,73312028
025,527790,73312161
001,529881,73314154
002,529882,73314154
003,529883,73314154
005,529884,73314154
021,529885,73314154
031,531942,73315981
042,532097,73316124
009,532602,73316598
003,532763,73316754
032,534708,73318554
016,539170,73322648
030,541792,73325052
200,542501,73325687
016,542791,73325957
042,543077,73326228
041,544491,73327519
028,544914,73327921
029,545243,73328226
029,545245,73328228
032,546455,73329352
033,547630,73330426
033,547925,73330707
033,548430,73331200
021,549199,73331874
030,549476,73332113
030,549477,73332114
030,550274,73332854
031,550829,73333357
021,551160,73333665
005,551464,73333947
033,552472,73334869
042,554847,73337107
034,555722,73337903
034,555723,73337904
025,557214,73339276
016,558577,73340539
025,558592,73340548
025,560009,73341857
021,560497,73342330
016,560508,73342339
032,560744,73342568
042,561525,73343295
003,563985,73345590
021,564160,73345751
012,565994,73347473
016,567537,73348931
040,569096,73350375
032,570233,73351472
035,570234,73351472
028,570407,73351645
016,573144,73354147
016,573741,73354697
005,574014,73354948
037,574402,73355327
016,575651,73356734
018,575652,73356734
025,575653,73356735
025,578550,73359661
025,580020,73361064
032,580341,73361368
025,581084,73362091
025,581085,73362092
025,581086,73362093
025,581087,73362094
033,581958,73362905
028,582704,73363597
025,583441,73364237
025,583442,73364238
025,583927,73364700
003,584148,73364912
003,584149,73364913
009,584169,73364933
003,585102,73365764
003,585393,73366037
003,585395,73366039
003,586532,73367123
025,588301,73368772
025,588302,73368773
009,588926,73369357
007,589290,73369698
001,589470,73369866
032,590183,73370541
024,590807,73371154
008,591272,73371569
003,592450,73372667
003,593137,73373349
033,595088,73375163
009,595354,73375425
030,598059,73377962
030,599951,73379757
009,601429,73381179
009,601466,73381215
029,603537,73383164
037,603783,73383383
035,603784,73383384
042,603787,73383386
003,603966,73383561
032,604320,73383906
032,604321,73383907
025,605203,73384625
030,605507,73384913
032,605716,73385107
014,606966,73386262
028,606967,73386262
025,608326,73387517
042,609287,73388412
018,609532,73388615
003,609799,73388860
005,609800,73388860
006,609801,73388860
008,609802,73388860
009,609803,73388860
014,609804,73388860
015,609805,73388860
016,609806,73388860
018,609807,73388860
020,609808,73388860
021,609809,73388860
024,609810,73388860
025,609811,73388860
026,609812,73388860
028,609813,73388860
030,609814,73388860
003,609946,73388950
005,609947,73388950
010,609948,73388950
011,609949,73388950
042,609950,73388950
042,609984,73388982
025,609988,73388986
042,610003,73389001
016,611362,73390267
025,612904,73391596
042,613177,73391821
032,613388,73392013
033,613389,73392013
014,615183,73393515
009,616470,73394509
042,616471,73394509
016,621827,73398965
020,621828,73398965
025,621829,73398965
036,623411,73400534
032,624145,73401233
035,624146,73401233
025,624824,73401865
026,624825,73401865
038,626191,73403163
028,626570,73403511
020,627817,73404683
020,627818,73404684
009,628422,73405268
038,628600,73405440
018,628780,73405610
042,629416,73406205
042,629417,73406206
029,631050,73407710
003,631284,73407930
041,631998,73408599
035,633158,73409674
025,633243,73409755
001,633297,73409807
010,634822,73411229
016,636487,73412771
031,636970,73413202
039,637217,73413444
018,637256,73413483
041,637491,73413706
035,639560,73415677
029,639871,73415961
003,640120,73416190
039,640385,73416426
032,640912,73416925
031,642319,73418265
025,642523,73418452
032,644211,73420024
032,644301,73420099
016,644670,73420431
025,646376,73422003
009,647183,73422759
003,647184,73422760
030,647837,73423386
003,647981,73423521
042,648406,73423923
025,648867,73424362
037,650040,73425447
032,650291,73425679
032,655986,73431043
032,655988,73431045
030,657509,73432467
031,657576,73432528
003,657637,73432582
003,657638,73432583
025,659627,73434430
025,659628,73434431
025,659638,73434440
009,660437,73435204
042,661432,73436141
032,661640,73436348
032,662566,73437184
040,662899,73437513
030,663166,73437769
042,663442,73438027
042,663445,73438030
029,663877,73438424
030,663878,73438424
042,663879,73438425
035,664944,73439359
015,665334,73439714
042,665750,73440086
016,666622,73440898
036,667305,73441547
033,668629,73442754
042,669145,73443222
031,671072,73444996
032,673341,73447094
028,673665,73447381
042,674580,73448225
042,674774,73448404
003,674803,73448433
032,676228,73449745
042,677047,73450492
009,677122,73450562
001,677410,73450820
025,678909,73452220
016,680205,73453430
010,680865,73454027
014,681927,73455011
032,682121,73455193
041,682124,73455197
003,683894,73456873
009,684438,73457375
032,685513,73458342
016,685985,73458795
025,687283,73460009
042,687403,73460125
009,687532,73460242
024,687533,73460242
042,689459,73462010
016,690525,73463032
033,692205,73464606
019,692289,73464686
030,692639,73465000
030,693162,73465465
009,694326,73466513
042,695300,73467445
030,695399,73467538
042,695510,73467644
035,696066,73468155
025,696291,73468345
032,697129,73469111
016,697160,73469142
003,697441,73469386
009,700626,73472360
035,702467,73474071
032,703534,73475053
021,703646,73475159
025,703647,73475159
042,705174,73476522
042,705912,73477161
041,706621,73477818
037,707191,73478359
029,707359,73478511
030,707360,73478511
042,707399,73478548
042,707686,73478809
042,707687,73478810
005,708561,73479621
029,708562,73479621
030,708563,73479621
032,708564,73479621
003,708568,73479625
009,708684,73479730
029,709177,73480183
030,710132,73481051
009,714695,73485250
016,714696,73485250
031,714880,73485407
028,715525,73485995
007,715583,73486045
036,715636,73486095
025,716357,73486735
001,717244,73487543
002,717245,73487543
003,717246,73487543
004,717247,73487543
005,717248,73487543
006,717249,73487543
007,717250,73487543
008,717251,73487543
009,717252,73487543
011,717253,73487543
012,717254,73487543
014,717255,73487543
016,717256,73487543
017,717257,73487543
018,717258,73487543
020,717259,73487543
021,717260,73487543
022,717261,73487543
024,717262,73487543
025,717263,73487543
026,717264,73487543
027,717265,73487543
028,717266,73487543
034,717267,73487543
035,717268,73487543
036,717269,73487543
037,717270,73487543
039,717271,73487543
041,717272,73487543
042,717273,73487543
011,717960,73488148
020,718281,73488435
038,719321,73489321
011,721063,73490855
028,722628,73492278
005,724166,73493665
021,724562,73494010
004,724665,73494109
033,725007,73494427
033,725049,73494463
003,725281,73494674
025,725316,73494707
003,725575,73494952
006,726569,73495877
042,727809,73497015
042,728088,73497285
016,729750,73498800
009,730441,73499414
018,731097,73500008
025,732921,73501643
033,734380,73502984
042,734495,73503094
005,734546,73503142
042,735906,73504382
003,736370,73504784
036,737024,73505373
010,737670,73505922
036,737832,73506074
039,737833,73506074
003,738787,73506967
042,739897,73507979
032,740104,73508167
042,742344,73510235
009,742422,73510303
001,742668,73510531
042,742986,73510804
014,744480,73512170
020,746928,73514361
032,746929,73514361
005,747330,73514709
025,747565,73514922
028,747885,73515218
033,748330,73515614
028,748849,73516091
028,748850,73516092
036,748878,73516119
037,748879,73516119
042,748880,73516119
032,749590,73516751
025,751970,73518910
003,753043,73519876
004,753044,73519876
005,753045,73519876
042,753112,73519934
033,753428,73520223
028,754253,73520953
041,754322,73521021
009,754969,73521624
033,755126,73521765
028,755169,73521808
016,755453,73522071
041,755454,73522071
033,756207,73522746
016,757794,73524220
020,757795,73524220
024,757796,73524220
025,757797,73524220
026,757798,73524220
028,757799,73524220
025,758967,73525279
032,760514,73526699
032,760566,73526749
009,761753,73527827
032,762619,73528565
030,762909,73528828
030,762910,73528829
030,762911,73528830
016,763681,73529513
025,765755,73531378
009,766349,73531920
032,767680,73533152
025,768521,73533897
032,769337,73534655
029,769514,73534812
032,769895,73535145
003,770132,73535356
030,770975,73536119
035,770988,73536132
041,771306,73536426
033,771555,73536653
029,771670,73536764
042,774381,73539223
035,775787,73540487
039,775788,73540487
032,775870,73540558
032,776373,73541014
030,777299,73541828
014,778415,73542830
016,778416,73542831
028,778422,73542835
018,778509,73542918
021,778510,73542919
009,778672,73543065
003,779218,73543547
016,779507,73543829
025,779508,73543829
025,779538,73543860
014,780219,73544460
028,780246,73544485
019,782232,73546274
032,784573,73548379
028,784701,73548502
005,786114,73549752
026,786641,73550229
016,787779,73551234
025,788624,73551998
042,789007,73552343
025,790161,73553383
029,791338,73554397
025,791501,73554537
032,791598,73554625
041,791865,73554866
042,792845,73555768
032,794467,73557225
042,795741,73558335
003,796004,73558568
030,796063,73558622
042,796064,73558622
041,796225,73558753
041,796965,73559407
029,798771,73561070
030,800064,73562218
009,800081,73562233
009,800422,73562521
041,800659,73562742
035,800929,73562989
009,801794,73563770
005,804252,73565878
035,807221,73568528
023,807242,73568544
042,807824,73569084
016,808381,73569570
029,808559,73569722
030,808560,73569722
042,810707,73571587
032,811289,73572108
030,811803,73572585
040,811831,73572600
042,811832,73572600
030,811842,73572608
029,811843,73572609
009,811940,73572695
032,813099,73573732
029,813101,73573734
032,813102,73573734
029,813103,73573735
032,813104,73573735
002,813704,73574257
042,813914,73574428
030,814475,73574935
042,814624,73575075
041,815899,73576185
042,816494,73576706
042,816496,73576708
042,816522,73576732
042,816754,73576958
042,818242,73578307
042,818329,73578391
011,820244,73580106
042,820245,73580106
029,821990,73581680
035,822010,73581700
042,822011,73581700
035,822012,73581701
042,822013,73581701
029,822014,73581702
016,822426,73582059
041,823152,73582711
036,824640,73584051
042,825162,73584510
020,825603,73584907
003,827626,73586667
029,829694,73588570
029,829838,73588703
014,832550,73591137
016,833821,73592258
036,834186,73592576
039,834187,73592576
016,835584,73593812
030,835983,73594162
009,837019,73595125
009,837221,73595296
010,837885,73595890
014,838056,73596036
