own_addr_1,own_addr_2,own_addr_city,own_composed_of,own_addr_country_cd,own_altn_name,own_entity_desc,own_seq,own_entity_cd,own_nalty_country_cd,own_nalty_other_cd,own_nalty_state_cd,own_addr_other_cd,own_name,own_type_cd,own_addr_postal,own_addr_state_cd,own_id,serial_no
,1000 STANLEY DRIVE,NEW BRITAIN,,,,,1,16,,,DE,,"Stanley Logistics, L.L.C.",42,06053,CT,3796,71029747
1000 STANLEY DRIVE,,NEW BRITAIN,,,,,1,3,,,DE,,"Stanley Logistics, Inc.",41,06053,CT,3797,71029747
,1000 STANLEY DRIVE,NEW BRITAIN,,,,,1,3,,,CT,,"STANLEY WORKS, THE",40,06050,CT,3798,71029747
,,NEW BRITAIN,,,,,1,3,,,DE,,STANLEY RULE & LEVEL COMPANY,30,06053,CT,3799,71029747
,1000 STANLEY DRIVE,NEW BRITAIN,,,,,1,16,,,DE,,"STANLEY LOGISTICS, L.L.C.",42,06053,CT,3800,71029748
1000 STANLEY DRIVE,,NEW BRITAIN,,,,,1,3,,,DE,,"STANLEY LOGISTICS, INC.",41,06053,CT,3801,71029748
,1000 STANLEY DRIVE,NEW BRITAIN,,,,,1,3,,,CT,,"STANLEY WORKS, THE",40,06050,CT,3802,71029748
,,NEW BRITAIN,,,,,1,3,,,CT,,STANLEY RULE & LEVEL COMPANY,30,,CT,3803,71029748
,,TAYLORVILLE,,,,,1,3,,,IL,,E-Z OPENER BAG COMPANY,30,,IL,4408,71039887
MERCEDESSTRASSE 137,,STUTTGART,,DE,,,1,3,DE,,,,DAIMLER AG,43,70327,,5005,71054775
EPPLESTRASSE 225,,70567 STUTTGART,,DE,,,1,3,DE,,,,DAIMLERCHRYSLER AG,42,,,5006,71054775
136 MERCEDES STRASSE,,70322 STUTTGART,,DE,,,1,3,DE,,,,MERCEDES-BENZ AKTIENGESELLSCHAFT,41,,,5007,71054775
,,UNTERTURKHEIM,,DE,,,1,3,DE,,,,DAIMLER-MOTOREN-GESELLSCHAFT,30,,,5008,71054775
,COLERAIN AVENUE AND MONMOUTH STREET,CINCINNATI,,,,,1,3,,,OH,,"SAMUEL C. TATUM COMPANY, THE",30,,OH,5712,71066576
,1000 STANLEY DRIVE,NEW BRITAIN,,,,,1,3,,,CT,,"STANLEY WORKS, THE",40,06050,CT,6873,71088293
,,NEW BRITAIN,,,,,1,3,,,CT,,STANLEY RULE & LEVEL COMPANY,30,,CT,6874,71088293
,,MORRIS PLAINS NJ,,,,,1,98,,,,,"DU BARRY, INC.",40,,,7413,71099024
,NO. 115 EAST TWENTY-NINTH STREET,NEW YORK,,,,,1,3,,,NY,,RICHARD HUDNUT,30,,NY,7414,71099024
,NO. 45 EAST 17TH STREET,NEW YORK,,,,,1,3,,,NY,,JULIUS KAYSER & CO.,30,,NY,7816,71106538
,,NEW YORK N.Y.,,,,,1,98,,,,,J. P. STEVENS & CO. INC.,40,,,8301,71115976
,,PASSAIC,,,,,1,3,,,NJ,,FORSTMANN & HUFFMANN CO.,30,,NJ,8302,71115976
,,Riverside,,,,,1,3,,,CA,,"Riverside Citrus Company, Inc.",40,,CA,9020,71127395
,,Placentia,,,,,1,3,,,CA,,Placentia Mutual Orange Association,30,,CA,9021,71127395
,,Montvale,,,,,1,98,,,,,"Airco, Inc.",40,,NJ,9093,71128085
,,New York,,,,,1,3,,,NY,,Davis-Bournonville Company,30,,NY,9094,71128085
,,New York,,,,,1,3,,,DE,,"J. P. Stevens & Co., Inc.",40,,NY,9801,71138217
,BARBOUR AVENUE,Passaic,,,,,1,3,,,NJ,,Forstmann & Huffmann Co.,30,,NJ,9802,71138217
,"NEW BRITAIN, CONNECTICUT.",,,,,,1,98,,,,,"STANLEY WORKS, THE",37,,,10031,71141083
,"NEW YORK, N.Y.",,,,,,1,98,,,,,AMERICAN APOTHECARIES COMPANY,37,,,10794,71149499
,,,,,,,1,98,,,,,BASTIAN-MORLEY CO.,37,,,11032,71151933
,"SEBASTOPOL, CALIFORNIA.",,,,,,1,98,,,,,SEBASTOPOL APPLE GROWERS UNION,37,,,12096,71162956
,9377 W. HIGGINS RD,ROSEMONT,,,,,1,16,,,DE,,APPLETON GRP LLC,44,60018,IL,12111,71163129
1369 MAIN ST EAST,,RAINSVILLE,,,,,1,3,,,DE,,EGS ELECTRICAL GROUP LLC,43,35986,AL,12112,71163129
9377 W. Higgins Road,,Rosemount,,,,,1,3,,,DE,,APPLETON ELECTRIC COMPANY,42,60018,IL,12113,71163129
,1701-1713 WELLINGTON AVENUE,Chicago,,,,,1,3,,,IL,,Appleton Electric Company,30,,IL,12114,71163129
,"HOLYOKE, MASS.",,,,,MASSACHUSETTS.,1,99,,,,,"MARVELLUM COMPANY, THE",37,,,12264,71164710
,,New York,,,,,1,3,,,DE,,John B. Stetson Company,40,,NY,12760,71171209
,1486 BROADWAY,New York,,,,,1,3,,,NY,,Disney Hats,30,,NY,12761,71171209
,"HOLYOKE, MASS.",,,,,MASSACHUSETTS.,1,99,,,,,"MARVELLUM COMPANY, THE",37,,,13481,71178857
,"ELYRIA, OHIO",,,,,OHIO.,1,99,,,,,"WORTHINGTON BALL COMPANY, THE",37,,,13900,71182889
,"PASSAIC, NEW JERSEY.",,,,,,1,98,,,,,FORSTMANN & HUFFMANN COMPANY,37,,,16904,71211913
3501 MARVEL DRIVE,,OSHKOSH,,,,,1,3,,,WI,,"AMADA MARVEL, INC.",32,54902,WI,17037,71212990
3501 MARVEL DRIVE,,OSH KOSH,,,,,1,3,,,WI,,"MARVEL MANUFACTURING COMPANY, INC.",31,54902,WI,17038,71212990
,333--357 NORTH FRANCISCO AVE.,CHICAGO,,,,,1,3,,,IL,,ARMSTRONG-BLUM MANUFACTURING COMPANY,30,60639,IL,17039,71212990
,NO. 1486 BROADWAY,NEW YORK,,,,,1,3,,,NY,,DISNEY HATS,30,,NY,18840,71233923
,100 E. 42ND ST.,NEW YORK,,,,,1,3,,,DE,,NORTH AMERICAN PHILIPS CORPORATION,45,10017,NY,19682,71246138
,NO. 237 E. 41ST ST.,NEW YORK,,,,,1,3,,,NY,,VINCENT BACH CORPORATION,30,,NY,19683,71246138
,242 WEST 69TH STREET,NEW YORK,,,,,1,3,,,IL,,EMEROL MANUFACTURING CO.,30,,NY,21307,71270961
,,WINCHESTER,,,,,1,1,US,,,,"BYRD, H. F.",30,,VA,21717,71276292
,229 WEST RANDOLPH STREET,CHICAGO,"SAMUEL TARG, MAX TARG, AND SOLOMON DINNER ALL CITIZENS OF THE UNITED STATES",,,FIRM,1,99,,,IL,,TARG AND DINNER MUSIC CO.,30,,IL,21722,71276350
MERCEDESSTRAßE 120,,STUTTGART,,DE,,,1,3,DE,,,,MERCEDES-BENZ GROUP AG,44,70372,,22828,71288586
,MERCEDESSTRASSE 120,STUTTGART,,DE,,,1,3,DE,,,,DAIMLER AG,43,70372,,22829,71288586
,EPPLESTRASSE 225,70567 STUTTGART,,DE,,,1,3,DE,,,,DAIMLERCHRYSLER AG,42,,,22830,71288586
,136 MERCEDES STRASSE,7000 STUTTGART 60 (UNTERTURKHEIM),,DE,,,1,3,DE,,,,MERCEDES-BENZ AKTIENGESELLSCHAFT,40,,,22831,71288586
,NOS. 50-51 UNTER DEN LINDEN,"BERLIN, NW, 7",,DE,,,1,3,DE,,,,DAIMLER-BENZ AKTIENGESELLSCHAFT,30,,,22832,71288586
,136 MERCEDES STRASSE,7000 STUTTGART 60 (UNTERTURKHEIM),,DE,,,1,3,DE,,,,MERCEDES-BENZ AKTIENGESELLSCHAFT,40,,,22833,71288587
,NOS. 50-51 UNTER DEN LINDEN,BERLIN,,DE,,,1,3,DE,,,,DAIMLER-BENZ AKTIENGESELLSCHAFT,30,,,22834,71288587
,11 EAST 26TH STREET,NEW YORK CITY,,,,,1,3,,,NY,,"POIRETTE CORSETS, INC.",30,,NY,24151,71302693
,NO. 195 LAKE STREET,NEW BRITAIN,,,,,1,3,,,CT,,"STANLEY WORKS, THE",30,,CT,25097,71311936
,1000 STANLEY DRIVE,NEW BRITAIN,,,,,1,3,,,CT,,"STANLEY WORKS, THE",30,06050,CT,25100,71312020
"9009 Carothers Parkway, Ste. C-2",,Franklin,,,,,1,3,,,DE,,MEDQUIST IP CORPORATION,45,37067,TN,25874,71318979
1000 BISHOPS GATE BLVD.,,MT. LAUREL,,,,,1,3,,,NJ,,"MEDQUIST TRANSCRIPTIONS, LTD.",44,08054,NJ,25875,71318979
,"2300 PARKLAKE DRIVE, N.E.",ATLANTA,,,,,1,3,,,DE,,"LANIER WORLDWIDE, INC.",43,30345,GA,25876,71318979
,LAKESIDE AVENUE OPPOSITE ASHLAND AVENUE,WEST ORANGE,,,,,1,3,,,NJ,,"THOMAS A. EDISON, INCORPORATED",30,,NJ,25877,71318979
,LAKE AVENUE AND ASHLAND AVENUE,WEST ORANGE,,,,,2,3,,,NJ,,"THOMAS A. EDISON, INCORPORATED",30,,NJ,25878,71318980
,1239 LIGHT STREET,BALTIMORE,"COMPOSED OF ISIDORE RODBELL AND DAVID Z. RODBELL, BOTH CITIZENS OF THE U.S.",,,FIRM,2,99,,,MD,,"MARVELITE PAINT AND ENAMEL COMPANY, THE",30,,MD,26142,71321571
Chanel Legal Department,9 WEST 57TH STREET,NEW YORK,,,,,1,3,,,NY,,"CHANEL, INC.",41,10019,NY,27400,71332645
,NO. 35 WEST 34TH STREET,NEW YORK,,,,,1,3,,,NY,,"CHANEL, INC.",30,,NY,27401,71332645
,VIA N. TOMMASEO NO. 1723,PADUA,"COMPOSED OF THE FOLLOWING MEMBERS, SILVIO BARBIERI AND LUIGI BARBIERI, SUBJECTS OF THE KING OF ITALY",IT,,FIRM,1,99,,,,,S.L. FLLE. BARBIERI,30,,,28868,71345288
,265 GREENWICH ST.,NEW YORK,,,,,1,3,,,NY,,DISTILLED LIQUORS CORPORATION,30,,NY,29465,71349970
,,FREEHOLD,,,DBA VANDERVEER DISTILLERY,,1,1,US,,,,"HENDRICKSON, ARTHUR H.",30,,NJ,30086,71355734
,385 FIFTH AVENUE,NEW YORK,,,,,1,3,,,NY,,"MARVELLA, INC.",40,,NY,30555,71359687
,385 FIFTH AVENUE,NEW YORK,,,DBA WEINREICH BROTHERS CO.,,1,3,,,NY,,"WEINREICH, SOL E.",30,,NY,30556,71359687
,,INDIANAPOLIS,,,,,1,3,,,IN,,INDIANAPOLIS GLOVE COMPANY,30,,IN,31360,71366616
,48-56 WASHINGTON STREET,SOMERVILLE,,,,,1,3,,,MA,,"NEW ENGLAND VINEGAR WORKS, INC., THE",30,,MA,32108,71372566
,,YVERDON SWITZERLAND,,,,,1,98,,,,,HERMES PRECISA INTERNATIONAL S.A.,40,,,32765,71377229
,RUE DU NORD 8,YVERDON,,CH,,,1,3,CH,,,,"E. PAILLARD & CIE, SOCIETE ANONYME",30,,,32766,71377229
,,SCOBEYVILLE NJ,,,,,1,98,,,,,"LAIRD & COMPANY, DBA, VANDERVEER DISTILLERY CO.",40,,,33856,71385670
,,SCOBEYVILLE,,,,,1,3,,,NJ,,LAIRD AND COMPANY,30,,NJ,33857,71385670
,,SCOBEYVILLE NJ,,,,,1,98,,,,,LAIRD & COMPANY,40,,,34247,71388104
,,MATAWAN,,,,,1,3,,,NJ,,"NEW JERSEY APPLE GROWERS, INC.",30,,NJ,34248,71388104
1884 MILES AVENUE,,ELKHART,,,,,1,3,,,IN,,BAYER CORPORATION,46,46514,IN,34572,71390632
,4TH AND PARKER STREETS,BERKELEY,,,,,1,3,,,CA,,CUTTER LABORATORIES,30,,CA,34573,71390632
,,STUTTGART GERMANY,,,,,1,98,,,,,DAIMLER-BENZ AKTIENGESELLSCHAFT,40,,,35727,71399599
,,STUTTGART-UNTERKHEIM,,DD,,,1,3,DD,,,,DAIMLER-BENZ AKTIENGESELLSCHAFT,30,,,35728,71399599
,,STUTTGART GERMANY,,,,,1,98,,,,,Daimler-Benz Aktiengesellschaft,40,,,35729,71399600
,,Stuttgart-Unterturkheim,,DE,,,1,3,DE,,,,Daimler-Benz Aktiengesellschaft,30,,,35730,71399600
,,STUTTGART-UNTERTURKHEIM,,DE,,,1,3,DE,,,,DAIMLER-BENZ AKTIENGESELLSCHAFT,30,,,35731,71399601
,,STUTTGART-UNTERTURKHEIM,,DE,,,1,3,DE,,,,DAIMLER-BENZ AKTIENGESELLSCHAFT,30,,,35732,71399602
,,WEST GERMANY,,,,,1,98,,,,,DAIMIER-BENZ AKTIENGESELLSCHAFT,40,,,35733,71399603
,,STUTTGART-UNTERTURKHEIM,,DE,,,1,3,DE,,,,DAIMIER-BENZ AKTIENGESELLSCHAFT,30,,,35734,71399603
1000 STANLEY DRIVE,,NEW BRITAIN,,,,,1,16,,,DE,,"STANLEY LOGISTICS, L.L.C.",41,06053,CT,36121,71402144
,1000 STANLEY DRIVE,BEW BRITAIN,,,,,1,3,,,DE,,"STANLEY LOGISTICS, INC.",40,06053,CT,36122,71402144
1000 STANLEY DRIVE,,NEW BRITAIN,,,,,1,3,,,CT,,"STANLEY WORKS, THE",30,06050,CT,36123,71402144
1000 STANLEY DRIVE,,NEW BRITAIN,,,,,1,16,,,DE,,"STANLEY LOGISTICS, L.L.C.",41,06053,CT,36124,71402145
,1000 STANLEY DRIVE,BEW BRITAIN,,,,,1,3,,,DE,,"STANLEY LOGISTICS, INC.",40,06053,CT,36125,71402145
,1000 STANLEY DRIVE,NEW BRITAIN,,,,,1,3,,,CT,,"STANLEY WORKS, THE",30,06050,CT,36126,71402145
1000 STANLEY DRIVE,,NEW BRITAIN,,,,,1,16,,,DE,,"STANLEY LOGISTICS, L.L.C.",41,06053,CT,36127,71402146
,1000 STANLEY DRIVE,NEW BRITAIN,,,,,1,3,,,DE,,"STANLEY LOGISTICS, INC.",40,06053,CT,36128,71402146
,1000 STANLEY DRIVE,NEW BRITAIN,,,,,1,3,,,CT,,"STANLEY WORKS, THE",30,06050,CT,36129,71402146
1000 STANLEY DRIVE,,New Britain,,,,,1,16,,,DE,,"STANLEY LOGISTICS, L.L.C.",41,06053,CT,36696,71405742
1000 STANLEY DRIVE,,BEW BRITAIN,,,,,1,3,,,DE,,"STANLEY LOGISTICS, INC.",40,06053,CT,36697,71405742
1000 STANLEY DRIVE,,NEW BRITAIN,,,,,1,3,,,CT,,"STANLEY WORKS, THE",30,06050,CT,36698,71405742
,"24, RUE DU FAUBOURG SAINT-HONORE",PARIS,,FR,,,1,3,FR,,,,HERMES INTERNATIONAL,31,75008,,38288,71416559
,24 Rue du Faubourg Saint Honore,Paris,,FR,,,1,3,FR,,,,Hermes,30,,,38289,71416559
,"24, RUE FAUBOURG SAINT-HONORE",PARIS,,FR,,,1,3,FR,,,,HERMES INTERNATIONAL,41,75008,,38290,71416560
"NO. 24 RUE du FAUBOURG, SAINT-HONORE",,PARIS,,FR,,,1,3,FR,,,,HERMES,30,,,38291,71416560
"24, rue du Faubourg Saint-Honoré",,Paris,,FR,,,1,3,FR,,,,HERMES INTERNATIONAL,41,75008,,38292,71416561
,"NO. 24 RUE DE FAUBOURG, SAINT-HONORE",PARIS,,FR,,,1,3,FR,,,,"HERMES, S.A.",30,,,38293,71416561
"24, Rue du Faubourg Saint-Honoré",,Paris,,FR,,,1,3,FR,,,,HERMES INTERNATIONAL,41,75008,,38294,71416562
,"NO.24 RUE du FAUBOURG, SAINT-HONORE","PARIS, SEINE",,FR,,,2,3,FR,,,,HERMES S.A.,30,,,38295,71416562
,"NO. 24 RUE DU FAUBOURG, STE. HORNE",PARIS-SEINE,,FR,,,1,3,FR,,,,"HERMES, S.A.",30,,,38296,71416562
,,PARIS,,FR,,,1,3,FR,,,,HERMES INTERNATIONAL,41,75008,,38297,71416563
,,Paris,,FR,,,1,3,FR,,,,Hermes,30,,,38298,71416563
,,Greenwich,,,,,1,98,,,,,Chesebrough-Pond's Inc.,40,,CT,39905,71427088
,191 Hudson Street,Manhattan,,,,,1,3,,,NY,,"Peggy Sage, Inc.",30,,NY,39906,71427088
,,Terminal Island,,,,,1,98,,,,,Perk Foods Co. Incorporated,40,,CA,41528,71436440
,510 NORTH DEARBORN STREET,CHICAGO,,,DBA AMERICAN BEEF COMPANY,,1,3,,,IL,,"READY FOODS COMPANY, INC.",30,,IL,41529,71436440
,,Greenwich,,,,,1,98,,,,,Chesebrough-Pond's Inc.,40,,CT,41827,71438053
,,Stamford,,,,,1,3,,,NY,,"Peggy Sage, Inc.",30,,CT,41828,71438053
,"CHICAGO, ILL.",,,,,,1,98,,,,,"ANTISEPTOL COMPANY, INC.",37,,,42273,71440615
,,Rochester,,,,,1,3,,,NY,,"Curtice-Burns, Inc.",40,,NY,43015,71444667
,,Elberta,,,,,1,3,,,MI,,Elberta Packing Company,30,,MI,43016,71444667
,"SALEM, OHIO",,,,,OHIO.,1,99,,,,,"DEMING COMPANY, THE",37,,,45039,71452241
,4340 TENTH ST.,ENCORSE,"COMPOSED OF CHARLES J. FOUCHEY AND JOSEPH A. CARRIER, BOTH U. S. CITIZENS.",,,FIRM,1,99,,,MI,,MARVEL TOOL AND MACHINE CO.,30,,MI,45571,71454143
,"KANSAS CITY, MO.",,,,,,1,98,,,,,SPEAS COMPANY,37,,,46011,71456050
,"NEWARK, N.J.",,,,,,1,98,,,,,COOK & DUNN PAINT CORPORATION,37,,,47391,71462048
,"NEW YORK, N.Y.",,,,,,1,98,,,,,GENERAL DESSERTS CORPORATION,37,,,48608,71467432
,310 SOUTH MICHIGAN AVENUE,CHICAGO,,,,,1,3,,,IL,,BORG-WARNER CORPORATION,30,,IL,51859,71482973
,155 BERRY STREET,SAN FRANCISCO,,,,,1,3,,,CA,,"S AND W FINE FOODS, INC.",30,,CA,52056,71484032
,,WESTFIELD,,,,,1,3,,,MA,,"STANLEY HOME PRODUCTS, INC.",37,,MA,60866,71524745
,,WESTFIELD,,,,,1,3,,,MA,,"STANLEY HOME PRODUCTS, INC.",37,,MA,60867,71524746
,420 LEXINGTON AVE.,NEW YORK,,,,,1,3,,,NJ,,"GREAT ATLANTIC & PACIFIC TEA COMPANY, THE",30,,NY,61795,71527367
,WAYNE STREET,EAST WILLIAMSON,,,,,1,3,,,NY,,FRUIT BELT PRESERVING COMPANY,30,,NY,64100,71532582
,22ND AND JEFFERSON STREETS,CHICAGO,,,,,1,3,,,DE,,JOANNA WESTERN MILLS COMPANY,30,,IL,65705,71536817
,,WATERLOO,,,,,1,3,,,IA,,"RATH PACKING COMPANY, THE",37,,IA,66805,71539757
,35 WEST 34TH STREET,NEW YORK,,,,,1,3,,,NY,,"CHANEL, INC.",30,,NY,66854,71539852
,642 N. BROAD STREET,PHILADELPHIA,,,,,1,3,,,PA,,LOUIS GOLDSMITH INC.,30,,PA,67013,71540274
CHANEL LEGAL DEPARTMENT,9 WEST 57TH STREET,NEW YORK,,,,,1,3,,,NY,,"CHANEL, INC.",41,10019,NY,70632,71550120
,35 WEST 34TH STREET,NEW YORK,,,,,1,3,,,NY,,"CHANEL, INC.",30,10001,NY,70633,71550120
9 WEST 57TH STREET,Chanel Legal Department,NEW YORK,,,,,1,3,,,NY,,"CHANEL, INC.",41,10019,NY,70741,71550582
,NO. 35 WEST 34TH STREET,NEW YORK,,,,,2,3,,,NY,,"CHANEL, INC.",30,,NY,70742,71550582
,35 WEST 34TH STREET,NEW YORK,,,,,1,3,,,NY,,"CHANEL, INC.",30,,NY,70743,71550582
,NO. 35 WEST 34TH STREET,NEW YORK,,,,,1,3,,,NY,,"CHANEL, INC.",30,,NY,71006,71551168
,PODEBRADSKA 186,186 00 PRAHA - HLOUBETIN,,CS,,,1,3,CS,,,,"TESLA, AKCIOVA SPOLECNOST",41,,,71266,71552098
,"KARLOVO, NAM. 7",PRAHA II,,CS,,,1,3,CS,,,,"TESLA, SLABOPROUDE A RADIOTECHNICKE ZAVODY, NARODNI PODNIK",30,,,71267,71552098
,383 FIFTH AVENUE,NEW YORK,"COMPOSED OF THE FOLLOWING PARTNERS SOL E. WEINREICH AND RAY C. WEINREICH, CITIZENS OF THE UNITED STATES OF AMERICA",,,,1,2,,,NY,,WEINREICH BROTHERS COMPANY,30,,NY,72233,71555126
,144 OAKFIELD ROAD,SELLY OAK BIRMINGHAM,,,,,1,16,GB,,,GB2,LEWIS WOOLF GRIPTIGHT LIMITED,42,B29 7EE,,72873,71557116
,43 WEST 23ND STREET,NEW YORK,,,,,1,1,US,,,,"COLM, JACK",30,,NY,72874,71557116
280 10th Avenue,,San Diego,,,,,1,16,,,DE,,"BUMBLE BEE FOODS, LLC",43,92101,CA,72913,71557311
3990 FUFFIN ROAD,,SAN DIEGO,,,,,1,3,,,DE,,"BUMBLE BEE SEAFOOD, INC.",42,92123,CA,72914,71557311
,P. O. BOX 50773,NEW ORLEANS,,,,,1,3,,,LA,,"REUTHER'S SEA FOOD COMPANY, INC.",30,70150,LA,72915,71557311
,35 WEST 34TH STREET,NEW YORK,,,,,1,3,,,NY,,"CHANEL, INC.",30,,NY,75400,71565235
,35 WEST 34TH STREET,NEW YORK,,,,,1,3,,,NY,,"CHANEL, INC.",30,,NY,75775,71566499
,MOBAY ROAD,PITTSBURGH,,,,,1,3,,,NJ,,MOBAY CORPORATION,42,152059741,PA,76001,71567327
,FOURTH AND PARKER STREETS,BERKELEY 1,,,,,1,3,,,CA,,CUTTER LABORATORIES,30,,CA,76002,71567327
,,TRAVERSE CITY,,,,,1,3,,,MI,,JOHN C. MORGAN COMPANY,30,,MI,77320,71571985
,10 E. Mead Avenue,YAKIMA,,,,,1,3,,,WA,,HANSEN FRUIT & COLD STORAGE CO.,30,98903,WA,78660,71576536
,P.O. Box 91,Yakima,,,,,1,3,,,WA,,YAKIMA FRUIT & COLD STORAGE CO.,30,989070091,WA,80808,71584211
,7110 NORTH CLARK STREET,CHICAGO,,,,,1,16,,,DE,,"AFFY TAPPLE, L.L.C.",43,60626,IL,82551,71589881
,7110 N. CLARK STREET,CHICAGO,,,,,1,3,,,IL,,"AFFY TAPPLE, INC.",40,60626,IL,82552,71589881
,7110 NORTH CLARK STREET,CHICAGO,,,,,1,3,,,IL,,"WINDY CITY CONFECTIONS SALES CO., INC.",30,60626,IL,82553,71589881
,NO. 115 FIFTH AVENUE,NEW YORK,,,,,1,3,,,NY,,"L. ABELSON & SON, INC.",30,,NY,83003,71591708
,401 ST. JEAN AVENUE,DETROIT,,,,,1,3,,,MI,,CRAWFORD DOOR COMPANY,30,,MI,84463,71596560
,195 LAKE STREET,NEW BRITIAN,,,,,1,3,,,CT,,"STANLEY WORKS, THE",30,,CT,85692,71600856
1000 STANLEY DRIVE,,BRITAIN,,,,,1,3,,,DE,,"STANLEY LOGISTICS, INC.",40,06053,CT,86173,71602427
,1000 STANLEY DRIVE,NEW BRITAIN,,,,,1,3,,,CT,,"STANLEY WORKS, THE",30,06050,CT,86174,71602427
,,TUSCALOOSA,,,,,1,3,,,DE,,GULF STATES PAPER CORPORATION,30,,AL,86408,71603232
,42 ARNOLD STREET,WESTFIELD,,,,,1,3,,,MA,,"STANLEY HOME PRODUCTS, INC.",30,,MA,86731,71604400
,1901 AVENUE OF THE STARS,LOS ANGELES,,,,,1,3,,,CA,,"TELEDYNE INDUSTRIES, INC.",45,90067,CA,87405,71606639
,,LATROBE,,,,,1,3,,,PA,,VANADIUM-ALLOYS STEEL COMPANY,30,,PA,87406,71606639
,151 WEST AVENUE,LYNDONVILLE,,,,,1,3,,,NY,,"LYNDONVILLE CANNING COMPANY, INC.",30,,NY,88180,71609304
,S: T PERSGATAN 28/30,UPPSALA,,SE,,,1,3,SE,,,,NYMANBOLAGEN AKTIEBOLAG,30,,,88819,71611484
,800 PEACH GLEN ROAD,PEACH GLEN,,,,,1,3,,,PA,,"KNOUSE FOODS COOPERATIVE, INC.",44,17375,PA,88854,71611545
,500 SANTA ROSA AVENUE,SEBASTOPOL,,,,,1,3,,,CA,,SEBASTOPOL COOPERATIVE CANNERY,30,,CA,88855,71611545
,"533 WHITEHALL STREET, S. W.",ATLANTA,,,,,1,3,,,GA,,"BIG APPLE SUPER MARKETS, INC.",30,,GA,89008,71611997
,2537 PENN AVENUE,PITTSBURGH,,,,,1,3,,,PA,,PITTSBURGH WATERPROOF COMPANY,30,,PA,91558,71620230
371 EAST 16TH STREET,,CHICAGO,,,,,1,3,,,IL,,"PLANT MARVEL LABORATORIES, INC.",40,60411,IL,96621,71637337
,12050 PARNELL AVENUE,CHICAGO,,,DBA PLANT MARVEL LABORATORIES,,1,1,US,,,,"SLATER, JOSEPH D.",30,,IL,96622,71637337
371 EAST 16TH STREET,,CHICAGO HEIGHTS,,,,,1,3,,,IL,,"PLANT MARVEL LABORATORIES, INC.",40,60411,IL,96623,71637338
,12050 PARNELL AVENUE,CHICAGO,,,,,1,1,US,,,,"SLATER, JOSEPH D.",30,,IL,96624,71637338
371 EAST 16TH STREET,,CHICAGO HEIGHTS,,,,,1,3,,,IL,,"PLANT MARVEL LABORATORIES, INC.",40,60411,IL,96991,71638740
,12050 PARNELL AVENUE,CHICAGO,,,DBA PLANT MARVEL LABORATORIES,,1,1,US,,,,"SLATER, JOSEPH D.",30,,IL,96992,71638740
,119 NORTH WASHINGTON STREET,DANVILLE,,,,,1,3,,,NE,,CONSOLIDATED PRODUCTS COMPANY,30,,IL,98388,71643537
,,CHESTER,COMPOSED OF WELLS C. BATES AND HAMILTON C. BATES,,,FIRM,1,99,,,,,C. J. BATES & SON,30,,CT,99647,71647584
800 PEACH GLEN-IDAVILLE ROAD,,PEACH GLEN,,,,,1,3,,,PA,,"KNOUSE FOODS COOPERATIVE, INC.",44,17375,PA,100401,71650280
